test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.io.file.tfile.TestTFileNoneCodecsStreams#testFailureValueTooShort@;@31@;@31@;@10901@;@10139@;@2@;@1972@;@2490@;@10@;@29m 55s
org.apache.hadoop.security.TestSecurityUtil#testBuildDTServiceName@;@3@;@3@;@13003@;@13003@;@0@;@1739@;@1739@;@3@;@29m 56s
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractAppend#testAppendMissingTarget@;@30@;@30@;@9737@;@9737@;@0@;@1626@;@1631@;@5@;@29m 55s
org.apache.hadoop.crypto.key.kms.TestLoadBalancingKMSClientProvider#testGetActualUGI@;@3@;@29@;@11912@;@8246@;@7@;@1608@;@1608@;@16@;@29m 54s
org.apache.hadoop.security.authorize.TestProxyUsers#testProxyUsersWithCustomPrefix@;@20@;@20@;@11153@;@11153@;@0@;@1874@;@1874@;@4@;@29m 55s
org.apache.hadoop.fs.viewfs.TestViewFileSystemWithAuthorityLocalFileSystem#testOperationsThroughMountLinksInternal@;@44@;@44@;@11323@;@0@;@8@;@2028@;@2527@;@21@;@29m 55s
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractCreate#testCreateNewFile@;@30@;@30@;@10966@;@10962@;@1@;@1625@;@1631@;@9@;@29m 55s
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractOpen#testOpenReadDir@;@29@;@29@;@11835@;@11834@;@1@;@1624@;@1630@;@8@;@29m 55s
org.apache.hadoop.fs.viewfs.TestChRootedFileSystem#testMkdirDelete@;@28@;@28@;@11212@;@11212@;@0@;@2045@;@2045@;@3@;@29m 55s
org.apache.hadoop.http.TestHttpServerWebapps#testValidServerResource@;@25@;@25@;@4079@;@3120@;@5@;@2875@;@2989@;@22@;@29m 55s
org.apache.hadoop.util.TestNativeLibraryChecker#testNativeLibraryChecker@;@1@;@1@;@12727@;@12727@;@0@;@1760@;@1764@;@1@;@29m 56s
org.apache.hadoop.security.TestUserGroupInformation#testTokenRaceCondition@;@18@;@18@;@3661@;@3191@;@2@;@2971@;@3057@;@15@;@29m 52s
