test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.zeppelin.interpreter.remote.RemoteAngularObjectTest#testAngularObjectAddOnZeppelinServerSide@;@141@;@141@;@259@;@196@;@2@;@5142@;@8186@;@141@;@29m 43s
org.apache.zeppelin.resource.DistributedResourcePoolTest#testResourceInvokeMethod@;@141@;@141@;@138@;@103@;@2@;@7974@;@8099@;@141@;@29m 27s
org.apache.zeppelin.conf.ZeppelinConfigurationTest#isPathWithInvalidSchemeTest@;@16@;@16@;@73016@;@73016@;@0@;@3840@;@3840@;@16@;@29m 55s
org.apache.zeppelin.interpreter.InterpreterSettingTest#testSharedMode@;@10@;@11@;@334366@;@334366@;@0@;@1965@;@1970@;@11@;@29m 55s
org.apache.zeppelin.interpreter.InterpreterSettingTest#testPerNoteIsolatedMode@;@10@;@11@;@333789@;@333789@;@0@;@1976@;@1981@;@11@;@29m 55s
org.apache.zeppelin.interpreter.launcher.SparkInterpreterLauncherTest#testLocalMode@;@13@;@14@;@30567@;@0@;@3@;@3674@;@4139@;@14@;@29m 41s
org.apache.zeppelin.interpreter.recovery.LocalRecoveryStorageTest#testMultipleInterpreterProcess@;@139@;@139@;@156@;@131@;@2@;@7173@;@7244@;@139@;@29m 36s
org.apache.zeppelin.notebook.NotebookTest#testPersist@;@21@;@25@;@1165@;@1165@;@0@;@7872@;@7890@;@25@;@29m 50s
org.apache.zeppelin.interpreter.recovery.FileSystemRecoveryStorageTest#testSingleInterpreterProcess@;@139@;@139@;@225@;@185@;@2@;@6288@;@7812@;@139@;@29m 40s
org.apache.zeppelin.conf.ZeppelinConfigurationTest#getPathTest@;@18@;@18@;@62048@;@62048@;@0@;@3855@;@3855@;@18@;@29m 55s
org.apache.zeppelin.notebook.repo.GitNotebookRepoTest#getRevisionFailTest@;@6@;@6@;@5652@;@5652@;@0@;@8006@;@8021@;@6@;@29m 50s
org.apache.zeppelin.search.LuceneSearchTest#canDeleteFromIndex@;@8@;@9@;@651@;@651@;@0@;@9194@;@9196@;@9@;@29m 44s
org.apache.zeppelin.scheduler.RemoteSchedulerTest#test@;@141@;@141@;@245@;@222@;@1@;@4829@;@8103@;@141@;@29m 37s
org.apache.zeppelin.notebook.repo.NotebookRepoSyncTest#testSyncOnDelete@;@23@;@26@;@1019@;@858@;@1@;@7043@;@7204@;@26@;@29m 49s
org.apache.zeppelin.helium.HeliumBundleFactoryTest#bundlePackage@;@8@;@9@;@228@;@0@;@1@;@5441@;@5458@;@9@;@29m 27s
org.apache.zeppelin.notebook.repo.VFSNotebookRepoTest#testBasics@;@6@;@7@;@61350@;@61350@;@0@;@2727@;@2744@;@7@;@29m 55s
org.apache.zeppelin.notebook.NotebookTest#testInterpreterSettingConfig@;@139@;@139@;@161@;@161@;@0@;@5662@;@8691@;@139@;@29m 30s
org.apache.zeppelin.conf.ZeppelinConfigurationTest#getNotebookDirTest@;@17@;@17@;@75515@;@75515@;@0@;@3850@;@3850@;@17@;@29m 55s
org.apache.zeppelin.notebook.repo.NotebookRepoSyncInitializationTest#initOneDummyStorageTest@;@5@;@6@;@335946@;@335946@;@0@;@1323@;@1324@;@6@;@29m 56s
org.apache.zeppelin.interpreter.InterpreterSettingTest#testPerUserIsolatedPerNoteIsolatedMode@;@10@;@11@;@164268@;@164268@;@0@;@4222@;@4226@;@11@;@29m 55s
org.apache.zeppelin.notebook.repo.GitNotebookRepoTest#getRevisionTest@;@6@;@6@;@5014@;@5014@;@0@;@8053@;@8079@;@6@;@29m 52s
org.apache.zeppelin.notebook.ParagraphTest#replInvalid@;@17@;@23@;@1663@;@1663@;@0@;@3272@;@7535@;@23@;@29m 54s
org.apache.zeppelin.notebook.repo.NotebookRepoSyncTest#testSyncOnCreate@;@23@;@27@;@1872@;@1649@;@1@;@6289@;@7205@;@27@;@29m 52s
org.apache.zeppelin.helium.HeliumBundleFactoryTest#testInstallNpm@;@8@;@9@;@231@;@0@;@1@;@3282@;@3299@;@9@;@29m 26s
org.apache.zeppelin.interpreter.remote.RemoteInterpreterTest#testParallelScheduler@;@141@;@141@;@295@;@224@;@2@;@7919@;@8053@;@141@;@29m 40s
org.apache.zeppelin.notebook.NotebookTest#testAngularObjectRemovalOnNotebookRemove@;@21@;@25@;@1336@;@1336@;@0@;@4282@;@7178@;@25@;@29m 49s
org.apache.zeppelin.notebook.NotebookTest#testRemoveCorruptedNote@;@21@;@22@;@2132@;@2132@;@0@;@6188@;@7656@;@22@;@29m 49s
org.apache.zeppelin.conf.ZeppelinConfigurationTest#isPathWithSchemeTestTrue@;@16@;@16@;@65034@;@65034@;@0@;@3841@;@3841@;@16@;@29m 55s
org.apache.zeppelin.interpreter.InterpreterSettingTest#testPerNoteScopedMode@;@10@;@11@;@211319@;@211319@;@0@;@1975@;@1978@;@11@;@29m 53s
org.apache.zeppelin.interpreter.InterpreterSettingTest#testCreateInterpreters@;@9@;@9@;@332917@;@332917@;@0@;@1893@;@1893@;@9@;@29m 54s
org.apache.zeppelin.search.LuceneSearchTest#canIndexAndQueryByNotebookName@;@8@;@9@;@877@;@874@;@1@;@2599@;@8339@;@9@;@29m 46s
org.apache.zeppelin.search.LuceneSearchTest#indexNoteNameUpdatedOnNoteSave@;@8@;@8@;@342@;@341@;@1@;@8356@;@8486@;@8@;@29m 39s
