test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.hive.ql.TestTxnCommands3#testNotEnoughToCompactNeedsCleaning@;@12@;@289@;@71@;@0@;@3@;@12379@;@15367@;@50@;@2m 49s
org.apache.hadoop.hive.llap.TestLlapOutputFormat#testValues@;@12@;@12@;@901@;@0@;@1@;@1896@;@1897@;@12@;@29m 34s
org.apache.hadoop.hive.ql.txn.compactor.TestWorker2#majorNoBaseLotsOfDeltas@;@12@;@59@;@3@;@0@;@2@;@12684@;@25433@;@45@;@47s
org.apache.hadoop.hive.ql.txn.compactor.TestCleaner2#cleanMultipleTimesWithSameWatermark@;@12@;@59@;@4@;@0@;@2@;@25255@;@27392@;@45@;@2m 2s
org.apache.hadoop.hive.ql.txn.compactor.TestCleaner2#testReadyForCleaningPileup@;@12@;@59@;@5@;@0@;@2@;@25242@;@27543@;@45@;@1m 9s
org.apache.hadoop.hive.ql.util.TestHiveStrictManagedMigration#testUsingControlDirUrl@;@12@;@40@;@397@;@0@;@1@;@4053@;@4071@;@36@;@29m 39s
org.apache.hadoop.hive.ql.optimizer.TestGenMapRedUtilsCreateConditionalTask#testMergePathValidMoveWorkReturnsNewMoveWork@;@12@;@36@;@397@;@397@;@0@;@3078@;@3085@;@14@;@29m 33s
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator#testDoubleValueTypeSumOneKey@;@12@;@17@;@1144@;@1061@;@1@;@2911@;@3006@;@17@;@29m 50s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorTypeCasts#testVectorCastLongToDouble@;@12@;@12@;@1199@;@1199@;@0@;@1914@;@1914@;@12@;@29m 51s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorDateDiff#testDateString@;@12@;@18@;@2@;@0@;@1@;@3022@;@3022@;@18@;@21m 58s
org.apache.hadoop.hive.ql.exec.repl.util.TestFileList#testWriteRetryCreateFailure@;@12@;@12@;@40@;@40@;@0@;@3221@;@3221@;@12@;@28m 34s
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPPlus#testDoulePlusDecimal@;@12@;@16@;@801@;@801@;@0@;@2205@;@2205@;@16@;@29m 46s
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator#testSumDoubleSimple@;@12@;@13@;@997@;@997@;@0@;@2627@;@2718@;@13@;@29m 48s
org.apache.hadoop.hive.ql.metadata.TestHiveMetaStoreChecker#testSingleThreadedCheckMetastore@;@12@;@191@;@782@;@0@;@1@;@15153@;@16610@;@42@;@29m 24s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorTypeCasts#testCastTimestampToDecimal@;@12@;@12@;@986@;@986@;@0@;@2207@;@2207@;@12@;@29m 51s
org.apache.hadoop.hive.ql.txn.compactor.TestInitiator#noCompactOnManyDifferentPartitionAborts@;@12@;@59@;@5@;@0@;@2@;@12676@;@27465@;@45@;@2m 31s
org.apache.hadoop.hive.ql.txn.compactor.TestInitiator#resolveUserToRunAs@;@12@;@59@;@4@;@0@;@2@;@27321@;@27554@;@45@;@1m 24s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorStringExpressions#testLoadBytesColumnVectorByValueLargeData@;@12@;@12@;@1007@;@1007@;@0@;@1909@;@1909@;@12@;@29m 40s
org.apache.hadoop.hive.ql.parse.repl.metric.TestReplicationMetricUpdateOnFailure#testReplDumpNonRecoverableMissingStage@;@12@;@21@;@1015@;@0@;@1@;@2063@;@2064@;@15@;@29m 51s
org.apache.hadoop.hive.ql.parse.TestHiveDecimalParse#testDecimalType1@;@12@;@247@;@799@;@0@;@7@;@2245@;@7062@;@207@;@29m 22s
org.apache.hadoop.hive.ql.parse.TestHiveDecimalParse#testDecimalType@;@12@;@245@;@768@;@0@;@7@;@2260@;@19020@;@198@;@29m 22s
org.apache.hadoop.hive.ql.TestTxnCommands#testTruncateWithBaseOnePartition@;@12@;@297@;@244@;@0@;@6@;@12876@;@33703@;@202@;@20m 5s
org.apache.hadoop.hive.ql.txn.compactor.TestCompactionMetrics#testCleanerFailuresCountedCorrectly@;@12@;@38@;@646@;@0@;@1@;@12552@;@22703@;@24@;@29m 45s
org.apache.hadoop.hive.ql.TestTxnConcatenate#testConcatenateMM@;@12@;@289@;@55@;@0@;@3@;@12371@;@14860@;@50@;@2m 14s
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator#testMultiKeyIntStringString@;@12@;@17@;@1218@;@1164@;@1@;@3068@;@3183@;@17@;@29m 50s
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator#testMultiKeyStringIntString@;@12@;@17@;@1309@;@1223@;@1@;@3064@;@3228@;@17@;@29m 50s
org.apache.hadoop.hive.ql.metadata.TestHiveMetaStoreChecker#testNoNPartitionedTable@;@12@;@193@;@1269@;@0@;@1@;@15037@;@16380@;@44@;@29m 29s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorStringExpressions#testStringLikeRandomized@;@12@;@12@;@878@;@878@;@0@;@2188@;@2188@;@12@;@29m 52s
org.apache.hadoop.hive.ql.lockmgr.TestDbTxnManager#testSingleReadTable@;@12@;@244@;@190@;@0@;@6@;@2255@;@25986@;@211@;@28m 5s
org.apache.hadoop.hive.ql.hooks.TestQueryHooks#testQueryLifeTimeWithParseHooksWithCompileError@;@14@;@219@;@1212@;@1212@;@0@;@9754@;@10747@;@198@;@29m 24s
org.apache.hadoop.hive.ql.TestTxnCommands#testDropWithBaseAndRecreateOnePartition@;@12@;@288@;@4@;@0@;@1@;@12437@;@12592@;@38@;@14s
org.apache.hadoop.hive.ql.txn.compactor.TestWorker2#majorTableLegacy@;@12@;@59@;@1@;@0@;@1@;@25391@;@25391@;@44@;@40s
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFPosMod#testDecimalPosModDecimalSameParams@;@12@;@16@;@1124@;@1124@;@0@;@2051@;@2051@;@16@;@29m 47s
org.apache.hadoop.hive.metastore.txn.TestTxnHandler#testCompactMajorWithPartition@;@12@;@46@;@616@;@487@;@1@;@12499@;@26035@;@38@;@29m 42s
org.apache.hadoop.hive.ql.txn.compactor.TestWorker#majorNoBaseLotsOfDeltas@;@12@;@59@;@15@;@0@;@2@;@27373@;@27813@;@45@;@16m 8s
org.apache.hadoop.hive.ql.exec.TestMsckCreatePartitionsInBatches#testEqualNumberOfPartitions@;@42@;@42@;@1262@;@0@;@1@;@6759@;@7571@;@1@;@29m 35s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorStringExpressions#testCharScalarCompareStringCol@;@12@;@12@;@1269@;@1269@;@0@;@2010@;@2010@;@12@;@29m 52s
org.apache.hadoop.hive.ql.TestTxnCommands2#testMerge2@;@12@;@297@;@386@;@0@;@8@;@12770@;@33938@;@232@;@23m 26s
org.apache.hadoop.hive.ql.TestTxnCommands2#testMultiInsert@;@12@;@293@;@61@;@0@;@6@;@12565@;@16028@;@196@;@2m 33s
org.apache.hadoop.hive.ql.lockmgr.ITestDbTxnManager#testInsertOverwritePartitionedCreate@;@22@;@419@;@86@;@0@;@1@;@38517@;@58539@;@389@;@28m 48s
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDTFGetSQLSchema#testWithSimpleTypes@;@37@;@293@;@885@;@885@;@0@;@18396@;@19094@;@258@;@29m 15s
org.apache.hadoop.hive.ql.txn.compactor.TestCleanerWithoutMinHistoryLevel#delayedCleanupAfterMinorAndMajorCompaction@;@12@;@59@;@0@;@0@;@0@;@0@;@0@;@0@;@16s
org.apache.hadoop.hive.ql.metadata.TestHive#testHiveCloseCurrent@;@49@;@49@;@1320@;@1320@;@0@;@1956@;@3809@;@1@;@29m 32s
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator#testSumLongRepeatConcatValues@;@12@;@13@;@1224@;@1224@;@0@;@2625@;@2669@;@13@;@29m 51s
org.apache.hadoop.hive.ql.metadata.TestHiveMetaStoreClientApiArgumentsChecker#testGetPartitionsByNamesWithSingleBatch@;@12@;@54@;@682@;@682@;@0@;@17642@;@18091@;@34@;@29m 34s
org.apache.hadoop.hive.ql.metadata.TestHiveMetaStoreChecker#testAdditionalPartitionDirs@;@12@;@191@;@1263@;@0@;@1@;@15257@;@16600@;@42@;@29m 31s
org.apache.hadoop.hive.ql.TestTxnCommandsWithSplitUpdateAndVectorization#testNonAcidToAcidConversion01@;@12@;@287@;@18@;@0@;@3@;@13150@;@13911@;@51@;@59s
org.apache.hadoop.hive.ql.TestTxnCommands3#testMinorCompactionAbortLeftoverFiles@;@12@;@300@;@279@;@0@;@7@;@12585@;@35767@;@227@;@27m 17s
org.apache.hadoop.hive.ql.hooks.TestHiveProtoLoggingHook#testQueueLogs@;@12@;@26@;@382@;@366@;@2@;@2612@;@3410@;@26@;@29m 46s
