Test Method,# configuration parameter,Configuration Key
alluxio.master.RegistryTest#registry,31,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.leak.detector.exit.on.leak=false;alluxio.leak.detector.level=DISABLED;]
alluxio.RestUtilsTest#errorResponse,33,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.security.authentication.type=SIMPLE;alluxio.security.authorization.permission.enabled=true;alluxio.security.login.username=null;alluxio.web.cors.enabled=false;]
alluxio.master.ExecutorServiceBuilderTest#createTpeExecutorWithCoreThreadsTimeout,33,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.master.rpc.executor.core.pool.size=500;alluxio.master.rpc.executor.max.pool.size=500;alluxio.master.rpc.executor.keepalive=60sec;alluxio.master.rpc.executor.tpe.queue.type=LINKED_BLOCKING_QUEUE;]
alluxio.master.transport.GrpcMessagingTransportTest#testEstablishConnection,51,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.security.authentication.type=SIMPLE;alluxio.network.tls.enabled=false;alluxio.security.stale.channel.purge.interval=3day;alluxio.master.embedded.journal.transport.max.inbound.message.size=100MB;alluxio.master.embedded.journal.election.timeout.max=20s;alluxio.network.connection.server.shutdown.timeout=60sec;alluxio.security.login.username=null;alluxio.network.tls.ssl.context.provider.classname=alluxio.util.network.tls.DefaultSslContextProvider;alluxio.network.connection.shutdown.graceful.timeout=45sec;alluxio.network.connection.shutdown.timeout=15sec;alluxio.user.network.rpc.max.connections=1;alluxio.user.network.rpc.keepalive.time=30sec;alluxio.user.network.rpc.keepalive.timeout=30sec;alluxio.user.network.rpc.max.inbound.message.size=100MB;alluxio.user.network.rpc.flowcontrol.window=2MB;alluxio.user.network.rpc.netty.channel=EPOLL;alluxio.user.network.rpc.netty.worker.threads=0;alluxio.network.connection.auth.timeout=30sec;alluxio.security.login.impersonation.username=_HDFS_USER_;alluxio.master.embedded.journal.transport.request.timeout.ms=5sec;alluxio.leak.detector.exit.on.leak=false;alluxio.leak.detector.level=DISABLED;]
alluxio.RestUtilsTest#objectOkResponse,33,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.security.authentication.type=SIMPLE;alluxio.security.authorization.permission.enabled=true;alluxio.security.login.username=null;alluxio.web.cors.enabled=false;]
alluxio.master.transport.GrpcMessagingTransportTest#testServerClosed,51,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.security.authentication.type=SIMPLE;alluxio.network.tls.enabled=false;alluxio.security.stale.channel.purge.interval=3day;alluxio.master.embedded.journal.transport.max.inbound.message.size=100MB;alluxio.master.embedded.journal.election.timeout.max=20s;alluxio.network.connection.server.shutdown.timeout=60sec;alluxio.security.login.username=null;alluxio.network.tls.ssl.context.provider.classname=alluxio.util.network.tls.DefaultSslContextProvider;alluxio.network.connection.shutdown.graceful.timeout=45sec;alluxio.network.connection.shutdown.timeout=15sec;alluxio.user.network.rpc.max.connections=1;alluxio.user.network.rpc.keepalive.time=30sec;alluxio.user.network.rpc.keepalive.timeout=30sec;alluxio.user.network.rpc.max.inbound.message.size=100MB;alluxio.user.network.rpc.flowcontrol.window=2MB;alluxio.user.network.rpc.netty.channel=EPOLL;alluxio.user.network.rpc.netty.worker.threads=0;alluxio.network.connection.auth.timeout=30sec;alluxio.security.login.impersonation.username=_HDFS_USER_;alluxio.master.embedded.journal.transport.request.timeout.ms=5sec;alluxio.leak.detector.exit.on.leak=false;alluxio.leak.detector.level=DISABLED;]
alluxio.master.transport.GrpcMessagingTransportTest#testConnectionClosed,51,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.security.authentication.type=SIMPLE;alluxio.network.tls.enabled=false;alluxio.security.stale.channel.purge.interval=3day;alluxio.master.embedded.journal.transport.max.inbound.message.size=100MB;alluxio.master.embedded.journal.election.timeout.max=20s;alluxio.network.connection.server.shutdown.timeout=60sec;alluxio.security.login.username=null;alluxio.network.tls.ssl.context.provider.classname=alluxio.util.network.tls.DefaultSslContextProvider;alluxio.network.connection.shutdown.graceful.timeout=45sec;alluxio.network.connection.shutdown.timeout=15sec;alluxio.user.network.rpc.max.connections=1;alluxio.user.network.rpc.keepalive.time=30sec;alluxio.user.network.rpc.keepalive.timeout=30sec;alluxio.user.network.rpc.max.inbound.message.size=100MB;alluxio.user.network.rpc.flowcontrol.window=2MB;alluxio.user.network.rpc.netty.channel=EPOLL;alluxio.user.network.rpc.netty.worker.threads=0;alluxio.network.connection.auth.timeout=30sec;alluxio.security.login.impersonation.username=_HDFS_USER_;alluxio.master.embedded.journal.transport.request.timeout.ms=5sec;alluxio.leak.detector.exit.on.leak=false;alluxio.leak.detector.level=DISABLED;]
alluxio.master.StateLockManagerTest#testExclusiveOnlyMode,32,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.master.backup.state.lock.interrupt.cycle.enabled=false;alluxio.master.backup.state.lock.interrupt.cycle.interval=30sec;alluxio.master.backup.state.lock.forced.duration=15min;]
alluxio.master.journal.AsyncJournalWriterTest#writesAndFlushes,31,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;]
alluxio.master.ExecutorServiceBuilderTest#startNegativeParallelism,34,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.master.rpc.executor.core.pool.size=500;alluxio.master.rpc.executor.max.pool.size=500;alluxio.master.rpc.executor.keepalive=60sec;alluxio.master.rpc.executor.fjp.min.runnable=1;alluxio.master.rpc.executor.fjp.async=true;]
alluxio.master.transport.GrpcMessagingTransportTest#testConnectionIsolation,52,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.security.authentication.type=SIMPLE;alluxio.network.tls.enabled=false;alluxio.security.stale.channel.purge.interval=3day;alluxio.master.embedded.journal.transport.max.inbound.message.size=100MB;alluxio.master.embedded.journal.election.timeout.max=20s;alluxio.network.connection.server.shutdown.timeout=60sec;alluxio.security.login.username=null;alluxio.network.tls.ssl.context.provider.classname=alluxio.util.network.tls.DefaultSslContextProvider;alluxio.network.connection.shutdown.graceful.timeout=45sec;alluxio.network.connection.shutdown.timeout=15sec;alluxio.user.network.rpc.max.connections=1;alluxio.user.network.rpc.keepalive.time=30sec;alluxio.user.network.rpc.keepalive.timeout=30sec;alluxio.user.network.rpc.max.inbound.message.size=100MB;alluxio.user.network.rpc.flowcontrol.window=2MB;alluxio.user.network.rpc.netty.channel=EPOLL;alluxio.user.network.rpc.netty.worker.threads=0;alluxio.network.connection.auth.timeout=30sec;alluxio.security.login.impersonation.username=_HDFS_USER_;alluxio.master.embedded.journal.transport.request.timeout.ms=5sec;alluxio.leak.detector.exit.on.leak=false;alluxio.leak.detector.level=DISABLED;alluxio.network.connection.health.check.timeout=5sec;]
alluxio.master.ExecutorServiceBuilderTest#startZeroKeepAliveTime,32,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.master.rpc.executor.type=TPE;alluxio.master.rpc.executor.core.pool.size=500;alluxio.master.rpc.executor.max.pool.size=500;]
alluxio.master.journal.AsyncJournalWriterTest#failedFlushWithBatching,31,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;]
alluxio.master.journal.AsyncJournalWriterTest#failedWrite,31,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;]
alluxio.cli.FormatTest#formatWorker,29,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.worker.data.folder=/alluxioworker/;]
