test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
alluxio.conf.InstancedConfigurationTest#getMsMillisecond@;@30@;@30@;@335954@;@335954@;@0@;@851@;@858@;@30@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getMsMinute@;@30@;@34@;@335926@;@335926@;@0@;@286@;@297@;@34@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getLong@;@30@;@33@;@335656@;@335656@;@0@;@397@;@408@;@33@;@29m 56s
alluxio.conf.InstancedConfigurationTest#userFileBufferBytesOverFlowException@;@29@;@33@;@100000@;@0@;@1@;@873@;@1004@;@33@;@16m 4s
alluxio.worker.block.io.LocalFileBlockReaderTest#readWithInvalidArgument@;@31@;@31@;@251877@;@251877@;@0@;@886@;@893@;@31@;@29m 56s
alluxio.resource.DynamicResourcePoolTest#acquireWithoutCapacity@;@31@;@34@;@1785@;@1785@;@0@;@416@;@427@;@34@;@29m 54s
alluxio.underfs.UnderFileSystemConfigurationTest#getValueWhenGlobalConfOverridesPropertyWithDefaultValue@;@30@;@33@;@336522@;@336522@;@0@;@401@;@404@;@33@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getList@;@29@;@32@;@336163@;@336163@;@0@;@407@;@414@;@32@;@29m 56s
alluxio.conf.InstancedConfigurationTest#setIgnoredPropertiesInSystemProperties@;@31@;@32@;@100000@;@0@;@1@;@402@;@575@;@32@;@22m 12s
alluxio.conf.InstancedConfigurationTest#getMsHR@;@30@;@33@;@335547@;@335547@;@0@;@404@;@415@;@33@;@29m 56s
alluxio.conf.InstancedConfigurationTest#wrongTieredStorageLevel@;@29@;@33@;@100000@;@0@;@1@;@410@;@570@;@33@;@19m 56s
alluxio.conf.InstancedConfigurationTest#noPropertiesAnywhere@;@33@;@33@;@335226@;@335226@;@0@;@403@;@415@;@33@;@29m 56s
alluxio.conf.InstancedConfigurationTest#variableSubstitution@;@31@;@34@;@335804@;@335804@;@0@;@969@;@976@;@34@;@29m 56s
alluxio.AbstractClientTest#unsupportedVersion@;@31@;@34@;@335957@;@326778@;@1@;@1301@;@1385@;@34@;@29m 56s
alluxio.underfs.options.MkdirsOptionsTest#equalsTest@;@30@;@33@;@335832@;@277395@;@1@;@1144@;@1190@;@33@;@29m 55s
alluxio.underfs.options.CreateOptionsTest#equalsTest@;@30@;@33@;@335892@;@277202@;@1@;@965@;@1192@;@33@;@29m 56s
alluxio.conf.AlluxioPropertiesTest#merge@;@32@;@36@;@100000@;@0@;@1@;@366@;@380@;@36@;@19m 49s
alluxio.underfs.UnderFileSystemConfigurationTest#getValueWhenGlobalConfHasNotProperty@;@30@;@30@;@334850@;@334850@;@0@;@348@;@359@;@30@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getInt@;@30@;@30@;@335290@;@335290@;@0@;@280@;@283@;@30@;@29m 55s
alluxio.conf.InstancedConfigurationTest#initConfWithExtenstionProperty@;@30@;@30@;@334736@;@334736@;@0@;@928@;@978@;@30@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getTrueBoolean@;@30@;@33@;@335624@;@335624@;@0@;@277@;@280@;@33@;@29m 56s
alluxio.resource.DynamicResourcePoolTest#acquireWithCapacity@;@31@;@34@;@333986@;@333986@;@0@;@985@;@997@;@34@;@29m 57s
alluxio.resource.DynamicResourcePoolTest#UnhealthyResource@;@31@;@31@;@336118@;@336118@;@0@;@908@;@915@;@31@;@29m 57s
alluxio.collections.LockPoolTest#parallelInsertTest@;@31@;@34@;@204255@;@204255@;@0@;@335@;@345@;@34@;@29m 56s
alluxio.resource.LockResourceTest#reentrantLock@;@31@;@34@;@335603@;@335603@;@0@;@358@;@369@;@34@;@29m 56s
alluxio.conf.InstancedConfigurationTest#findPropertiesFileClasspath@;@29@;@33@;@100000@;@0@;@1@;@833@;@980@;@33@;@23m 16s
alluxio.conf.InstancedConfigurationTest#validateDefaultConfiguration@;@29@;@32@;@335703@;@335703@;@0@;@958@;@961@;@32@;@29m 56s
alluxio.conf.InstancedConfigurationTest#isSetResolve@;@31@;@34@;@335624@;@335624@;@0@;@466@;@477@;@34@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getMsMIN@;@30@;@33@;@335459@;@335459@;@0@;@974@;@981@;@33@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getBytesMb@;@30@;@34@;@335721@;@335721@;@0@;@289@;@295@;@34@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getMsSEC@;@30@;@30@;@332546@;@332546@;@0@;@846@;@857@;@30@;@29m 55s
alluxio.underfs.options.CreateOptionsTest#fields@;@30@;@30@;@334926@;@289420@;@1@;@850@;@889@;@30@;@29m 56s
alluxio.conf.InstancedConfigurationTest#extensionProperty@;@30@;@34@;@100000@;@0@;@1@;@279@;@562@;@34@;@19m 37s
alluxio.conf.InstancedConfigurationTest#getBytespT@;@30@;@30@;@334296@;@334296@;@0@;@863@;@866@;@30@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getZeroSyncInterval@;@30@;@30@;@335780@;@335780@;@0@;@850@;@857@;@30@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getFalseBoolean@;@30@;@33@;@334985@;@334985@;@0@;@970@;@977@;@33@;@29m 56s
alluxio.conf.InstancedConfigurationTest#testAllKeyTypes@;@822@;@823@;@41990@;@0@;@1@;@1162@;@1186@;@823@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getMsHour@;@30@;@30@;@335057@;@335057@;@0@;@851@;@862@;@30@;@29m 56s
alluxio.master.MasterInquireClientTest#singleMasterConnectString@;@34@;@37@;@335319@;@295284@;@2@;@896@;@1051@;@37@;@29m 56s
alluxio.resource.DynamicResourcePoolTest#TimestampOverflow@;@31@;@31@;@356@;@356@;@0@;@771@;@783@;@31@;@29m 47s
alluxio.conf.AlluxioPropertiesTest#hash@;@851@;@852@;@40948@;@0@;@1@;@440@;@636@;@852@;@29m 56s
alluxio.heartbeat.HeartbeatThreadTest#concurrentHeartbeatThread@;@34@;@37@;@923@;@904@;@1@;@995@;@1080@;@37@;@29m 53s
alluxio.resource.LockResourceTest#reentrantReadWriteLock@;@31@;@34@;@335893@;@335893@;@0@;@351@;@363@;@34@;@29m 56s
alluxio.cli.AbstractShellTest#commandExists@;@29@;@29@;@335808@;@335808@;@0@;@1383@;@1395@;@29@;@29m 54s
alluxio.conf.InstancedConfigurationTest#getZeroSyncIntervalS@;@30@;@34@;@335595@;@335595@;@0@;@406@;@413@;@34@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getBytes@;@30@;@33@;@335473@;@335473@;@0@;@285@;@295@;@33@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getMalformedBytesThrowsException@;@29@;@30@;@334948@;@334948@;@0@;@315@;@318@;@30@;@29m 56s
alluxio.conf.InstancedConfigurationTest#setUserFileBufferBytesMaxInteger@;@29@;@32@;@335652@;@335652@;@0@;@971@;@971@;@32@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getMsSecond@;@30@;@30@;@335808@;@335808@;@0@;@285@;@296@;@30@;@29m 56s
