test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.hdfs.server.namenode.ha.TestObserverReadProxyProvider#testUnreachableObserverWithMultiple@;@37@;@39@;@13013@;@13007@;@3@;@2460@;@2593@;@21@;@29m 54s
org.apache.hadoop.hdfs.tools.TestDFSHAAdmin#testFailoverWithFenceButNoFencer@;@97@;@97@;@5593@;@5593@;@0@;@2552@;@2552@;@94@;@29m 53s
org.apache.hadoop.hdfs.server.namenode.ha.TestDelegationTokensWithHA#testCancelAndUpdateDelegationTokens@;@525@;@893@;@187@;@46@;@3@;@16898@;@17175@;@855@;@29m 31s
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.TestFsDatasetImpl#testAddVolumeWithSameStorageUuid@;@129@;@131@;@4547@;@0@;@3@;@2650@;@2777@;@63@;@29m 49s
org.apache.hadoop.hdfs.server.namenode.TestNameNodeMXBean#testNNDirectorySize@;@521@;@534@;@2691@;@0@;@13@;@2195@;@3600@;@172@;@29m 36s
org.apache.hadoop.hdfs.server.datanode.TestDataNodeRollingUpgrade#testDatanodeRollingUpgradeWithRollback@;@47@;@47@;@5281@;@0@;@1@;@2083@;@2083@;@19@;@29m 54s
org.apache.hadoop.hdfs.TestDFSClientRetries#testClientDNProtocolTimeout@;@57@;@59@;@125@;@0@;@11@;@1847@;@4368@;@43@;@4m 5s
org.apache.hadoop.hdfs.server.namenode.TestNameNodeResourceChecker#testLowResourceVolumePolicy@;@35@;@35@;@4904@;@4904@;@0@;@2292@;@2294@;@8@;@29m 53s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testRenameAcrossMounts2@;@611@;@627@;@1777@;@0@;@1@;@12885@;@14406@;@19@;@29m 17s
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.TestFsDatasetImpl#testLoadingDfsUsedForVolumes@;@113@;@115@;@4257@;@0@;@2@;@2666@;@2783@;@63@;@29m 49s
org.apache.hadoop.hdfs.TestBlockStoragePolicy#testSetStoragePolicyWithSnapshot@;@2@;@525@;@154@;@0@;@4@;@16595@;@16971@;@466@;@29m 36s
org.apache.hadoop.hdfs.qjournal.server.TestJournal#testAbortOldSegmentIfFinalizeIsMissed@;@4@;@4@;@12957@;@0@;@6@;@1996@;@2571@;@3@;@29m 53s
org.apache.hadoop.hdfs.web.TestWebHdfsWithMultipleNameNodes#testRedirect@;@643@;@645@;@852@;@852@;@0@;@22841@;@24311@;@94@;@28m 57s
org.apache.hadoop.hdfs.TestDFSUtil#testSomeConfsNNSpecificSomeNSSpecific@;@152@;@152@;@4857@;@4857@;@0@;@1812@;@1815@;@142@;@29m 55s
org.apache.hadoop.hdfs.TestDFSUtil#testConfModificationFederationAndHa@;@74@;@74@;@5351@;@5351@;@0@;@1862@;@1866@;@64@;@29m 55s
org.apache.hadoop.fs.TestHDFSFileContextMainOperations#testFileContextStatistics@;@523@;@525@;@1893@;@1893@;@0@;@13546@;@16066@;@6@;@29m 31s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkMergeSlash#testChildrenFileSystemLeak@;@611@;@630@;@1617@;@0@;@1@;@12203@;@14407@;@20@;@29m 14s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkMergeSlash#testRenameAcrossMounts2@;@611@;@628@;@2035@;@0@;@1@;@12201@;@14408@;@20@;@29m 21s
org.apache.hadoop.hdfs.server.namenode.TestFSNamesystemLock#testDetailedHoldMetrics@;@5@;@5@;@9889@;@9889@;@0@;@2472@;@2896@;@5@;@29m 53s
org.apache.hadoop.fs.contract.hdfs.TestHDFSContractGetFileStatus#testListFilesNoDir@;@522@;@527@;@2966@;@0@;@0@;@4485@;@7070@;@97@;@29m 33s
org.apache.hadoop.hdfs.server.namenode.top.window.TestRollingWindowManager#testOpTotal@;@2@;@2@;@14529@;@14529@;@0@;@1826@;@1826@;@2@;@29m 55s
org.apache.hadoop.hdfs.server.namenode.TestFileContextAcl#testRemoveDefaultAclStickyBit@;@522@;@526@;@3409@;@0@;@2@;@18363@;@18430@;@463@;@29m 25s
org.apache.hadoop.hdfs.server.namenode.ha.TestHASafeMode#testEnterSafeModeInANNShouldNotThrowNPE@;@629@;@640@;@1641@;@0@;@15@;@2192@;@3718@;@173@;@29m 35s
org.apache.hadoop.hdfs.web.TestWebHdfsFileSystemContract#testRenameDirectoryMoveToExistingDirectory@;@525@;@532@;@1512@;@1512@;@0@;@9557@;@9790@;@116@;@29m 24s
org.apache.hadoop.fs.contract.hdfs.TestHDFSContractCreate#testCreatedFileIsEventuallyVisible@;@522@;@526@;@1785@;@1785@;@0@;@11174@;@13858@;@97@;@29m 29s
org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.TestFsVolumeList#testNonDfsUsedMetricForVolume@;@10@;@10@;@12812@;@0@;@1@;@1970@;@1979@;@7@;@29m 50s
org.apache.hadoop.hdfs.server.namenode.TestGenericJournalConf#testClassDoesntExist@;@222@;@236@;@2216@;@0@;@15@;@2185@;@3555@;@116@;@29m 52s
org.apache.hadoop.hdfs.server.namenode.ha.TestObserverReadProxyProvider#testWriteOperationOnActive@;@35@;@37@;@12891@;@4374@;@2@;@2174@;@2415@;@19@;@29m 52s
org.apache.hadoop.fs.viewfs.TestViewFileSystemAtHdfsRoot#testGetDelegationTokens@;@525@;@541@;@2709@;@0@;@1@;@12238@;@14352@;@18@;@29m 34s
org.apache.hadoop.hdfs.TestLease#testFactory@;@96@;@99@;@4452@;@448@;@8@;@2212@;@3218@;@82@;@29m 53s
