test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.yarn.api.TestPBImplRecords#testResourceLocalizationResponse@;@11@;@11@;@4103@;@4103@;@0@;@1716@;@1716@;@0@;@29m 52s
org.apache.hadoop.yarn.api.TestPBImplRecords#testRefreshSuperUserGroupsConfigurationRequestPBImpl@;@11@;@11@;@4337@;@4337@;@0@;@1720@;@1720@;@0@;@29m 49s
org.apache.hadoop.yarn.util.TestProcfsBasedProcessTree#testProcessTree@;@22@;@22@;@226@;@226@;@0@;@2191@;@2192@;@3@;@29m 39s
org.apache.hadoop.yarn.client.api.impl.TestTimelineClientV2Impl#testAfterStop@;@27@;@38@;@2562@;@1823@;@4@;@2860@;@3414@;@19@;@29m 53s
org.apache.hadoop.yarn.api.TestResourcePBImpl#testGetMemory@;@35@;@62@;@5369@;@0@;@4@;@2022@;@2986@;@59@;@29m 56s
org.apache.hadoop.yarn.api.TestPBImplRecords#testGetAllResourceTypesInfoRequestPBImpl@;@11@;@11@;@6102@;@6102@;@0@;@1718@;@1718@;@0@;@29m 54s
org.apache.hadoop.yarn.api.TestPBImplRecords#testGetAttributesToNodesResponsePBImpl@;@11@;@11@;@5417@;@5417@;@0@;@1785@;@1785@;@0@;@29m 54s
org.apache.hadoop.yarn.client.api.impl.TestTimelineClientForATS1_5#testPostEntitiesToKeepUnderUserDir@;@48@;@60@;@2167@;@491@;@9@;@4473@;@7030@;@40@;@29m 52s
org.apache.hadoop.yarn.security.TestYARNTokenIdentifier#testParseTimelineDelegationTokenIdentifierRenewer@;@6@;@6@;@5883@;@5883@;@0@;@1784@;@1786@;@3@;@29m 56s
org.apache.hadoop.yarn.webapp.util.TestWebServiceClient#testCreateClient@;@42@;@42@;@3903@;@3903@;@0@;@10469@;@10770@;@42@;@29m 52s
org.apache.hadoop.yarn.api.TestContainerId#testContainerId@;@1@;@1@;@0@;@0@;@0@;@0@;@0@;@0@;@1s
org.apache.hadoop.yarn.client.api.impl.TestTimelineClient#testPutDomainNoResponse@;@26@;@38@;@4445@;@4040@;@3@;@3396@;@3934@;@20@;@29m 53s
org.apache.hadoop.yarn.webapp.TestWebApp#testCreateWithPort@;@35@;@47@;@119@;@82@;@6@;@2454@;@8013@;@36@;@25m 16s
org.apache.hadoop.yarn.util.TestConverterUtils#testInvalidContainerId@;@1@;@1@;@0@;@0@;@0@;@0@;@0@;@0@;@1s
