test_name,minConfigSize,maxConfigSize,num_of_executed_rounds,num_of_valid_rounds,unique_failures,init_coverage,total_coverage,fuzzing_time
org.apache.hadoop.hdfs.TestFileAppend3#testAppendToPartialChunk,525,527,1069,1069,0,13635,15575,14m 27s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testResolvePathThroughMountPoints,611,627,826,0,2,0,0,14m 18s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testTargetFileSystemLazyInitializationForChecksumMethods,611,632,897,0,2,0,0,14m 15s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testCloseChildrenFileSystem,611,629,896,0,2,0,0,14m 16s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testGetBlockLocations,611,627,916,0,2,0,0,14m 17s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testRenameAcrossMounts2,611,627,948,0,2,0,0,14m 16s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testListingWithFallbackLink,611,628,851,0,2,0,0,14m 19s
org.apache.hadoop.hdfs.TestDecommissionWithBackoffMonitor#testDecommission,556,556,1700,0,7,0,0,14m 18s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkMergeSlash#testChildFileSystems,611,629,945,0,2,0,0,14m 18s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkMergeSlash#testResolvePathDanglingLink,611,628,925,0,2,0,0,14m 18s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkMergeSlash#testConfLinkMergeSlashWithRegularLinks,611,631,769,0,2,0,0,14m 15s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkMergeSlash#testRenameAcrossMounts1,611,628,843,0,2,0,0,14m 15s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkRegex#testOperationsThroughMountLinksInternal,613,626,1010,0,2,0,0,14m 20s
org.apache.hadoop.fs.contract.hdfs.TestHDFSContractSeek#testReadFullyZeroByteFile,522,529,1733,1724,0,1517,13788,14m 34s
org.apache.hadoop.fs.TestFcHdfsCreateMkdir#testCreateRecursiveWithNonExistingDir,523,524,1449,1449,0,11782,13831,14m 31s
org.apache.hadoop.fs.permission.TestStickyBit#testStickyBitReset,525,526,1174,1174,0,5212,7971,14m 28s
org.apache.hadoop.hdfs.server.namenode.TestFileContextAcl#testDefaultAclNewSymlinkIntermediate,522,527,1598,1598,0,8657,10685,14m 34s
org.apache.hadoop.fs.TestWebHdfsFileContextMainOperations#testWriteReadAndDeleteEmptyFile,529,530,1217,1217,0,12903,14899,14m 28s
org.apache.hadoop.fs.TestSymlinkHdfsFileSystem#testLinkStatusAndTargetWithNonLink,531,532,1041,1041,0,11733,13673,14m 34s
org.apache.hadoop.hdfs.TestDFSShell#testSetXAttrPermission,525,527,1395,1395,0,5156,7742,14m 32s
org.apache.hadoop.hdfs.server.namenode.TestFavoredNodesEndToEnd#testWhenFavoredNodesNotPresent,525,526,1407,1407,0,12345,14027,14m 23s
org.apache.hadoop.fs.viewfs.TestViewFSOverloadSchemeWithMountTableConfigInHDFS#testMountTableNameShouldIgnorePortFromURI,522,534,1101,1101,0,14122,15904,14m 28s
org.apache.hadoop.fs.viewfs.TestViewFSOverloadSchemeWithMountTableConfigInHDFS#testCreateOnRoot,522,535,1287,1287,0,13851,15793,14m 31s
org.apache.hadoop.fs.viewfs.TestViewFSOverloadSchemeWithMountTableConfigInHDFS#testMountLinkWithNonExistentLink,522,536,1000,1000,0,13926,15827,14m 31s
org.apache.hadoop.fs.TestHDFSFileContextMainOperations#testWriteReadAndDeleteHalfABlock,523,526,1215,1215,0,12810,14795,14m 30s
org.apache.hadoop.fs.contract.hdfs.TestHDFSContractDelete#testDeleteNonexistentPathRecursive,522,527,1688,1688,0,4062,6721,14m 34s
org.apache.hadoop.hdfs.server.namenode.TestFileContextAcl#testModifyAclEntriesOnlyAccess,522,527,1395,1395,0,7718,10657,14m 35s
org.apache.hadoop.hdfs.server.namenode.TestFileContextAcl#testSetAclOnlyAccess,522,527,1737,1737,0,7629,9728,14m 36s
org.apache.hadoop.hdfs.web.TestFSMainOperationsWebHdfs#testRenameDirectoryToItself,531,533,1575,1575,0,11408,13839,14m 28s
org.apache.hadoop.hdfs.web.TestFSMainOperationsWebHdfs#testGlobStatusFilterWithMultipleWildCardMatchesAndTrivialFilter,531,533,1384,1384,0,12242,14526,14m 27s
org.apache.hadoop.fs.TestSymlinkHdfsFileSystem#testCreateLinkUsingPartQualPath1,531,532,1442,1442,0,6173,8295,14m 28s
org.apache.hadoop.TestGenericRefresh#testValidIdentifier,590,592,1800,1800,0,4143,6436,14m 30s
org.apache.hadoop.fs.contract.hdfs.TestHDFSContractMkdir#testCreateDirWithExistingDir,522,527,1678,1678,0,4010,6839,14m 34s
org.apache.hadoop.hdfs.server.namenode.TestNameNodeAcl#testSetAclMinimal,522,526,1468,1468,0,7453,9739,14m 34s
org.apache.hadoop.hdfs.web.TestWebHDFSAcl#testSetAclCustomMask,522,530,1312,1312,0,16115,17811,14m 29s
org.apache.hadoop.hdfs.web.TestWebHDFSAcl#testSetAclOnlyDefault,522,530,1450,1450,0,12189,14736,14m 32s
org.apache.hadoop.hdfs.web.TestWebHDFSAcl#testSetAclStickyBit,522,530,1661,1661,0,12196,14657,14m 32s
org.apache.hadoop.hdfs.tools.TestDFSHAAdmin#testFailoverWithFenceAndBadFencer,97,98,2411,2411,0,1975,1987,14m 53s
org.apache.hadoop.hdfs.server.common.TestJspHelper#testGetUgiDuringStartup,17,17,2617,2617,0,1914,1914,14m 52s
org.apache.hadoop.hdfs.server.common.TestJspHelper#testGetUgi,17,17,2655,2655,0,2055,2055,14m 53s
org.apache.hadoop.hdfs.server.namenode.ha.TestFailureOfSharedDir#testSharedDirsComeFirstInEditsList,30,30,2405,2405,0,1105,1105,14m 54s
org.apache.hadoop.hdfs.server.blockmanagement.TestSortLocatedStripedBlock#testTargetDecommnDatanodeDoesntExists,61,61,2716,2716,0,1505,1509,14m 48s
org.apache.hadoop.hdfs.TestDFSUtil#testGetNameServiceIds,17,17,2604,2604,0,1101,1101,14m 55s
org.apache.hadoop.hdfs.TestDFSUtil#testGetSpnegoKeytabKey,17,17,2740,2740,0,1094,1097,14m 55s
org.apache.hadoop.hdfs.TestDFSUtil#testLocalhostReverseLookup,20,20,2933,2933,0,1177,1177,14m 55s
org.apache.hadoop.hdfs.TestDFSUtil#testConfModificationFederationAndHa,74,74,2882,2882,0,1166,1169,14m 55s
