test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testCuboidGeneration3@;@149@;@149@;@1374@;@1351@;@1@;@2308@;@3736@;@148@;@29m 45s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testTooLargeCube@;@149@;@149@;@53@;@53@;@0@;@3389@;@3432@;@148@;@25s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testCuboidGeneration2@;@149@;@149@;@259@;@256@;@1@;@3654@;@3696@;@148@;@29m 51s
org.apache.kylin.cube.DimensionRangeInfoTest#testMergeRangeMap@;@144@;@144@;@6005@;@6005@;@0@;@2638@;@2677@;@144@;@29m 53s
org.apache.kylin.cube.common.SegmentPrunerTest#testLegacyCubeSeg@;@150@;@150@;@2129@;@2080@;@1@;@2424@;@4029@;@149@;@29m 52s
org.apache.kylin.cube.CubeDescTest#testSerializeMap@;@149@;@149@;@253@;@253@;@0@;@3897@;@3951@;@148@;@29m 54s
org.apache.kylin.cube.CubeSpecificConfigTest#test2@;@149@;@149@;@630@;@0@;@1@;@2416@;@3835@;@148@;@29m 52s
org.apache.kylin.cube.AggregationGroupRuleTest#testGoodDesc2@;@3@;@3@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.kylin.cube.AggregationGroupRuleTest#testGoodDesc@;@149@;@149@;@362@;@330@;@5@;@2876@;@3642@;@148@;@29m 48s
org.apache.kylin.cube.inmemcubing.ConcurrentDiskStoreTest#testMultiThreadRead@;@3@;@137@;@60@;@60@;@0@;@1035@;@1035@;@0@;@29m 23s
org.apache.kylin.cube.cuboid.CuboidTest#testFindCuboidByIdWithMultiAggrGroup@;@149@;@149@;@246@;@237@;@2@;@3348@;@3697@;@148@;@29m 49s
org.apache.kylin.cube.cuboid.CuboidTest#testFindCuboidByIdWithSingleAggrGroup2@;@149@;@149@;@250@;@234@;@2@;@2309@;@3750@;@148@;@29m 43s
org.apache.kylin.cube.CubeDescTest#testBadInit10@;@149@;@149@;@270@;@261@;@1@;@3648@;@3752@;@148@;@29m 49s
org.apache.kylin.cube.CubeDescTest#testCombinationIntOverflow@;@149@;@149@;@78@;@78@;@0@;@3405@;@3672@;@148@;@1m 45s
org.apache.kylin.cube.CubeSegmentsTest#testAllowGap@;@151@;@151@;@2054@;@2003@;@2@;@4499@;@4754@;@150@;@29m 55s
org.apache.kylin.cube.project.ProjectManagerTest#testDropNonexistProject@;@139@;@139@;@18660@;@0@;@1@;@1810@;@1846@;@139@;@29m 55s
org.apache.kylin.cube.CubeManagerTest#testAutoMergeWithMaxSegmentMergeSpan@;@153@;@153@;@194@;@179@;@3@;@4002@;@4896@;@152@;@29m 54s
org.apache.kylin.cube.AggregationGroupRuleTest#testBadDesc2@;@3@;@3@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.kylin.cube.AggregationGroupRuleTest#testBadDesc1@;@3@;@3@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.kylin.cube.inmemcubing.ConcurrentDiskStoreTest#testSingleThreadRead@;@3@;@137@;@158@;@158@;@0@;@1033@;@1033@;@0@;@29m 44s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testGetSpanningCuboid2@;@149@;@149@;@259@;@243@;@2@;@3589@;@3632@;@148@;@29m 52s
org.apache.kylin.cube.CubeDescTest#testGoodInit@;@149@;@149@;@2030@;@1942@;@2@;@3369@;@3627@;@148@;@29m 47s
org.apache.kylin.cube.CubeDescTest#testInitPartialCube@;@149@;@149@;@1760@;@1715@;@1@;@2220@;@3632@;@148@;@29m 54s
org.apache.kylin.cube.CubeDescTest#testDerivedInfo@;@149@;@149@;@198@;@190@;@1@;@3485@;@3661@;@148@;@29m 49s
org.apache.kylin.cube.CubeDescTest#testValidateNotifyList@;@149@;@149@;@2262@;@2262@;@0@;@3323@;@3696@;@148@;@29m 43s
org.apache.kylin.cube.CubeSegmentsTest#testPartitioned@;@152@;@152@;@1984@;@1903@;@2@;@4608@;@4925@;@151@;@29m 51s
org.apache.kylin.cube.project.ProjectManagerTest#testProjectsLoadAfterProjectChange@;@150@;@150@;@251@;@242@;@2@;@3810@;@4442@;@149@;@29m 56s
