test_name,minConfigSize,maxConfigSize,num_of_executed_rounds,num_of_valid_rounds,unique_failures,init_coverage,total_coverage,fuzzing_time
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractDelete#testDeleteDeepEmptyDir,28,28,5735,5734,1,1160,1165,14m 55s
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractOpen#testOpenFileExceptionallyTranslating,29,29,5737,5700,1,1160,1165,14m 55s
org.apache.hadoop.fs.TestPath#testURI,27,27,6513,6482,1,1341,1465,14m 56s
org.apache.hadoop.crypto.key.TestKeyProviderDelegationTokenExtension#testCreateExtension,19,19,6803,6803,0,1603,1603,14m 54s
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractDelete#testDeleteEmptyDirNonRecursive,28,28,5655,5589,1,1160,1165,14m 56s
org.apache.hadoop.fs.TestFsShellCopy#testCorruptedCopyCrc,28,31,4948,4948,0,2508,2514,14m 54s
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractMkdir#testCreateDirWithExistingDir,28,28,5480,5378,1,1160,1165,14m 55s
org.apache.hadoop.fs.TestDelegateToFsCheckPath#testCheckPathWithoutDefaultPort,2,2,6868,6868,0,1073,1073,14m 56s
org.apache.hadoop.fs.TestListFiles#testFile,27,30,5063,5063,0,1690,1690,14m 55s
org.apache.hadoop.security.TestShellBasedUnixGroupsMapping#testShellTimeOutConf,1,1,6150,6150,0,1119,1119,14m 56s
org.apache.hadoop.fs.TestSymlinkLocalFSFileSystem#testCreateLinkToDot,27,30,5310,5310,0,1708,1708,14m 55s
org.apache.hadoop.fs.TestFSMainOperationsLocalFileSystem#testInputStreamClosedTwice,30,30,3534,2926,6,1803,1911,14m 55s
org.apache.hadoop.fs.TestFSMainOperationsLocalFileSystem#testWriteReadAndDeleteOneBlock,30,30,3513,2868,8,1873,1990,14m 55s
org.apache.hadoop.fs.viewfs.TestChRootedFileSystem#testRenameAcrossFs,28,28,5318,5254,1,1687,1726,14m 55s
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractCreate#testFileStatusBlocksizeEmptyFile,29,29,3879,3837,9,1160,1165,14m 55s
org.apache.hadoop.fs.TestChecksumFileSystem#testRenameFileToFile,30,30,4060,3471,7,1575,1678,14m 55s
org.apache.hadoop.fs.TestRawLocalFileSystemContract#testMkdirsWithUmask,28,28,5468,5423,1,1163,1168,14m 55s
org.apache.hadoop.security.TestKDiagNoKDC#testKDiagUsage,1,1,5512,5512,0,961,961,14m 55s
org.apache.hadoop.fs.TestFilterFileSystem#testInitLocalFsSetsConfs,4,6,6135,6135,0,1079,1079,14m 56s
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractStreamIOStatistics#testInputStreamStatisticRead,30,30,4898,4282,3,1029,1034,14m 55s
org.apache.hadoop.crypto.key.TestKeyProviderFactory#testGetProviderViaURI,29,29,6019,6019,0,1438,1438,14m 55s
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractRename#testRenameDirIntoExistingDir,29,29,4203,3936,3,1160,1165,14m 55s
org.apache.hadoop.ipc.TestIPC#testUserBinding,28,28,3817,3817,0,2251,2444,14m 53s
org.apache.hadoop.ipc.TestIPC#testProxyUserBinding,28,28,3734,3734,0,2297,2461,14m 53s
org.apache.hadoop.util.TestRunJar#testClientClassLoaderSkipUnjar,23,23,5984,5984,0,2789,2798,14m 54s
org.apache.hadoop.ipc.TestDecayRpcScheduler#testUsingWeightedTimeCostProviderNoRequests,21,21,5605,5387,2,1944,1953,14m 53s
org.apache.hadoop.ipc.TestDecayRpcScheduler#testParseFactor,21,21,6298,6006,4,1426,1434,14m 54s
org.apache.hadoop.ipc.TestDecayRpcScheduler#testUsingWeightedTimeCostProvider,21,21,5669,5495,3,2007,2071,14m 53s
org.apache.hadoop.ha.TestZKFailoverController#testFormatSetsAcls,32,32,2319,1328,6,3377,3436,14m 52s
org.apache.hadoop.ha.TestZKFailoverController#testFencingMustBeConfigured,32,32,2451,1926,3,3566,3607,14m 52s
org.apache.hadoop.io.TestSequenceFile#testCreateUsesFsArg,33,33,2310,1664,6,2335,2452,14m 52s
org.apache.hadoop.security.token.delegation.TestZKDelegationTokenSecretManager#testCancelTokenSingleManager,31,31,203,199,2,4095,4643,11m 43s
org.apache.hadoop.security.token.delegation.TestZKDelegationTokenSecretManager#testMultiNodeCompeteForSeqNum,31,31,199,193,2,4404,4528,14m 52s
org.apache.hadoop.security.token.delegation.TestZKDelegationTokenSecretManager#testRenewTokenSingleManager,31,31,197,189,2,4164,4539,14m 52s
org.apache.hadoop.security.TestLdapGroupsMappingWithFailover#testDoesNotFailoverWhenDisabled,26,31,6293,6293,0,2412,2441,14m 53s
org.apache.hadoop.security.TestUserGroupInformation#testUGIAuthMethodInRealUser,18,18,6350,6350,0,1492,1494,14m 56s
org.apache.hadoop.security.TestUserGroupInformation#testLoginModuleCommit,18,18,6654,6654,0,1405,1406,14m 55s
org.apache.hadoop.fs.TestFilterFileSystem#testFilterEmbedInit,4,5,6809,6809,0,1592,1592,14m 52s
org.apache.hadoop.crypto.key.TestKeyProvider#testRolloverUnknownKey,3,3,6846,6846,0,1083,1083,14m 56s
org.apache.hadoop.io.compress.TestCodec#testBZip2NativeCodec,1,1,6698,6698,0,1043,1043,14m 56s
org.apache.hadoop.crypto.random.TestOsSecureRandom#testRandomLong,1,1,7118,7118,0,1043,1043,14m 56s
org.apache.hadoop.crypto.random.TestOsSecureRandom#testRandomDouble,1,1,7166,7166,0,1043,1043,14m 56s
org.apache.hadoop.metrics2.source.TestJvmMetrics#testJvmMetricsSingletonWithDifferentProcessNames,1,1,6501,6501,0,963,968,14m 56s
org.apache.hadoop.service.launcher.TestServiceLauncher#testRunNoArgsAllowedService,1,1,6485,6485,0,1138,1143,14m 56s
org.apache.hadoop.metrics2.sink.TestRollingFileSystemSink#testInit,16,16,6425,6425,0,1388,1392,14m 56s
org.apache.hadoop.util.TestFindClass#testCreateFailsPrivateClass,1,1,5737,5737,0,1146,1146,14m 56s
org.apache.hadoop.fs.shell.TestPathData#testRelativeGlob,30,30,1562,860,7,2004,2350,14m 54s
org.apache.hadoop.io.TestSequenceFileSerialization#testJavaSerialization,33,33,2007,991,7,2268,2523,14m 55s
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testBuilderCreateRecursive,30,30,5847,0,2,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testGlobStatusWithMultipleWildCardMatches,30,30,5832,0,2,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testOpenFileLazyFail,31,31,5911,0,2,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testInputStreamClosedTwice,30,30,5839,0,2,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testOutputStreamClosedTwice,30,30,5864,0,2,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testWriteReadAndDeleteEmptyFile,30,30,5920,0,2,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testBuilderCreateExistingFile,30,30,5375,0,2,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testCreateFlagAppendNonExistingFile,30,30,5756,0,2,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testOpenFileUnknownOption,31,31,6078,0,2,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestViewFsLocalFs#testRenameAcrossMounts1,36,36,4832,4832,0,2168,2181,14m 55s
org.apache.hadoop.fs.TestSymlinkLocalFSFileSystem#testStatNonLinks,27,30,5251,5251,0,1685,1685,14m 55s
org.apache.hadoop.fs.TestFSMainOperationsLocalFileSystem#testGlobStatusFilterWithMultiplePathWildcardsAndNonTrivialFilter,28,28,5390,5367,1,2085,2173,14m 55s
org.apache.hadoop.fs.TestFSMainOperationsLocalFileSystem#testGlobStatusFilterWithEmptyPathResults,28,28,5532,5468,1,2060,2098,14m 55s
org.apache.hadoop.fs.TestFSMainOperationsLocalFileSystem#testWorkingDirectory,30,30,3899,3390,6,1849,1956,14m 55s
org.apache.hadoop.fs.TestFSMainOperationsLocalFileSystem#testGlobStatusSomeMatchesInDirectories,28,28,5382,5338,1,2172,2210,14m 55s
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractCreate#testCreatedFileIsVisibleOnFlush,28,28,5975,5975,0,1160,1165,14m 55s
org.apache.hadoop.fs.TestLocalFileSystem#testSyncable,29,29,5262,5262,0,1180,1185,14m 55s
org.apache.hadoop.fs.TestLocalFileSystem#testFSOutputStreamBuilderOptions,32,32,5791,5791,0,1180,1185,14m 55s
org.apache.hadoop.fs.TestRawLocalFileSystemContract#testWriteReadAndDeleteTwoBlocks,29,29,4208,4187,3,1032,1037,14m 55s
org.apache.hadoop.fs.http.TestHttpFileSystem#testHttpFileStatus,24,24,5845,5845,0,1295,1295,14m 55s
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractRename#testRenamePopulatesDirectoryAncestors,28,28,5666,5666,0,1159,1164,14m 55s
org.apache.hadoop.fs.TestFileUtil#testWriteStringFileSystem,30,30,4117,3190,6,1754,1858,14m 55s
org.apache.hadoop.fs.viewfs.TestFSMainOperationsLocalFileSystem#testRenameFileToNonExistentDirectory,38,38,5900,0,1,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFSMainOperationsLocalFileSystem#testRenameFileToDestinationWithParentFile,38,38,5868,0,1,0,0,14m 55s
org.apache.hadoop.fs.viewfs.TestFSMainOperationsLocalFileSystem#testWriteReadAndDeleteOneAndAHalfBlocks,39,39,5936,0,1,0,0,14m 55s
