test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.mapred.TestCounters#testLegacyGetGroupNames@;@8@;@8@;@4645@;@4645@;@0@;@1822@;@1822@;@0@;@29m 55s
org.apache.hadoop.mapreduce.split.TestJobSplitWriter#testMaxBlockLocationsOldSplits@;@33@;@33@;@2772@;@2771@;@1@;@2513@;@2588@;@9@;@29m 54s
org.apache.hadoop.mapreduce.lib.output.TestPathOutputCommitterFactory#testFileOutputFormatBindingNoPath@;@26@;@26@;@4421@;@4421@;@0@;@1925@;@1925@;@8@;@29m 54s
org.apache.hadoop.mapreduce.lib.output.TestPathOutputCommitterFactory#testNamedCommitterFactory@;@24@;@24@;@3777@;@3777@;@0@;@1901@;@1901@;@6@;@29m 54s
org.apache.hadoop.mapreduce.lib.output.TestPathOutputCommitterFactory#testNamedCommitterFactoryNullPath@;@24@;@24@;@4451@;@4451@;@0@;@1812@;@1812@;@6@;@29m 54s
org.apache.hadoop.mapreduce.TestJobResourceUploader#testOverResourcesMBLimit@;@40@;@40@;@2129@;@2120@;@1@;@2505@;@2520@;@19@;@29m 51s
org.apache.hadoop.mapred.TestJobAclsManager#testClusterNoAdmins@;@20@;@20@;@4440@;@4440@;@0@;@1851@;@1851@;@4@;@29m 54s
org.apache.hadoop.mapred.TestJobConf#testProfileParamsDefaults@;@5@;@5@;@0@;@0@;@0@;@0@;@0@;@0@;@2s
org.apache.hadoop.mapreduce.TestJobResourceUploader#testPathsWithFragSchemeAbsolute@;@42@;@42@;@1868@;@1868@;@0@;@2199@;@2199@;@17@;@29m 50s
org.apache.hadoop.mapreduce.TestJobResourceUploader#testAtResourceLimit@;@40@;@40@;@1568@;@1568@;@0@;@2405@;@2405@;@15@;@29m 49s
org.apache.hadoop.mapred.TestLocatedFileStatusFetcher#testExecutorsShutDown@;@29@;@29@;@2579@;@2579@;@0@;@1741@;@1741@;@5@;@29m 54s
org.apache.hadoop.mapreduce.TestJob#testJobToString@;@22@;@22@;@1987@;@1987@;@0@;@2359@;@2359@;@4@;@29m 52s
org.apache.hadoop.mapreduce.lib.output.TestPreemptableFileOutputCommitter#testPartialOutputCleanup@;@5@;@5@;@12973@;@12973@;@0@;@2687@;@2691@;@4@;@29m 53s
org.apache.hadoop.mapreduce.split.TestJobSplitWriter#testMaxBlockLocationsNewSplits@;@34@;@34@;@2379@;@2379@;@0@;@2560@;@2567@;@10@;@29m 54s
org.apache.hadoop.mapreduce.security.TestTokenCache#testGetTokensForNamenodes@;@7@;@37@;@2233@;@2233@;@0@;@2910@;@2910@;@8@;@29m 50s
org.apache.hadoop.mapreduce.lib.output.TestPathOutputCommitterFactory#testFileOutputCommitterFactory@;@27@;@27@;@4314@;@2109@;@1@;@1919@;@1940@;@9@;@29m 55s
org.apache.hadoop.mapreduce.lib.output.TestPathOutputCommitterFactory#testBoundCommitterWithDefault@;@127@;@127@;@2961@;@0@;@2@;@1907@;@2104@;@42@;@29m 52s
org.apache.hadoop.mapreduce.task.reduce.TestMergeManager#testIoSortDefaults@;@6@;@6@;@4809@;@0@;@1@;@1716@;@1717@;@5@;@29m 56s
org.apache.hadoop.mapreduce.task.reduce.TestMergeManager#testZeroShuffleMemoryLimitPercent@;@42@;@42@;@1875@;@1765@;@1@;@2596@;@2601@;@18@;@29m 51s
org.apache.hadoop.mapred.TestJobAclsManager#testGroups@;@20@;@20@;@3887@;@3887@;@0@;@1844@;@1844@;@4@;@29m 55s
org.apache.hadoop.mapreduce.task.reduce.TestFetcher#testCopyFromHostOnAnyException@;@12@;@12@;@2652@;@2209@;@1@;@2962@;@3127@;@12@;@29m 51s
org.apache.hadoop.mapreduce.task.reduce.TestFetcher#testCopyFromHostExtraBytes@;@14@;@29@;@2793@;@2482@;@1@;@2968@;@3553@;@27@;@29m 52s
org.apache.hadoop.mapred.TestFileOutputCommitter#testAbortV2@;@45@;@53@;@2540@;@2106@;@10@;@2172@;@3478@;@32@;@29m 53s
org.apache.hadoop.mapred.TestFileOutputCommitter#testAbortV1@;@45@;@45@;@2414@;@2414@;@0@;@2627@;@2632@;@21@;@29m 53s
org.apache.hadoop.mapred.TestIndexCache#testLRCPolicy@;@34@;@34@;@1689@;@1689@;@0@;@2357@;@2360@;@10@;@29m 52s
org.apache.hadoop.mapred.TestIndexCache#testCreateRace@;@34@;@34@;@1876@;@1874@;@1@;@2120@;@2436@;@13@;@29m 53s
org.apache.hadoop.mapred.TestLineRecordReader#testStripBOM@;@31@;@31@;@2484@;@2457@;@2@;@2375@;@2403@;@10@;@29m 53s
org.apache.hadoop.mapreduce.TestContextFactory#testCloneMapContext@;@22@;@22@;@4657@;@4657@;@0@;@1737@;@1737@;@4@;@29m 55s
org.apache.hadoop.mapred.TestTask#testStatusUpdateExitsInNonUberMode@;@11@;@11@;@4163@;@0@;@1@;@1952@;@1952@;@7@;@29m 53s
org.apache.hadoop.mapreduce.lib.output.TestPathOutputCommitterFactory#testNamedCommitterNullPath@;@24@;@24@;@4214@;@4214@;@0@;@1813@;@1813@;@6@;@29m 54s
org.apache.hadoop.mapreduce.task.reduce.TestFetcher#testCopyFromHostWithRetry@;@11@;@11@;@2557@;@2557@;@0@;@2718@;@2722@;@11@;@29m 55s
org.apache.hadoop.mapred.TestQueue#test2Queue@;@15@;@15@;@4620@;@4620@;@0@;@2015@;@2019@;@8@;@29m 55s
org.apache.hadoop.mapred.TestJobConf#testJobPriorityConf@;@5@;@5@;@0@;@0@;@0@;@0@;@0@;@0@;@2s
org.apache.hadoop.mapred.TestJobConf#testNegativeValuesForMemoryParams@;@12@;@12@;@5426@;@3284@;@1@;@1836@;@1886@;@12@;@29m 56s
org.apache.hadoop.mapred.TestJobConf#testDeprecatedPropertyNameForTaskVmem@;@14@;@14@;@4642@;@3178@;@1@;@1913@;@1920@;@14@;@29m 56s
org.apache.hadoop.mapred.TestCounters#testWriteWithLegacyNames@;@8@;@8@;@4636@;@4636@;@0@;@1882@;@1886@;@0@;@29m 56s
org.apache.hadoop.mapreduce.lib.input.TestLineRecordReader#testRecordSpanningMultipleSplits@;@35@;@35@;@2893@;@2679@;@3@;@2325@;@2451@;@14@;@29m 54s
org.apache.hadoop.mapred.TestMapTask#testShufflePermissions@;@50@;@56@;@1055@;@523@;@11@;@2300@;@3270@;@35@;@29m 50s
org.apache.hadoop.mapreduce.lib.output.TestFileOutputFormat#testSetOutputPathException@;@26@;@26@;@2122@;@2122@;@0@;@1867@;@1867@;@7@;@29m 52s
org.apache.hadoop.mapreduce.lib.output.TestPathOutputCommitterFactory#testBoundCommitterWithSchema@;@2@;@2@;@0@;@0@;@0@;@0@;@0@;@0@;@1s
org.apache.hadoop.mapreduce.lib.output.TestFileOutputCommitter#testFailAbortV1@;@46@;@48@;@1688@;@1682@;@2@;@2898@;@2928@;@27@;@29m 52s
