Bug ID	Bug Type	Project	Config	Test	Github Issue	Seriousness	Report Status	Report URL	Note	Report Status
Bug-30	OOM	HDFS	dfs.namenode.gc.time.monitor.observation.window.ms=31961985d dfs.namenode.gc.time.monitor.sleep.interval.ms=8197723s	org.apache.hadoop.hdfs.client.impl.TestBlockReaderLocal#testStatisticsForErasureCodingRead						
Bug-31	OOM	HDFS	dfs.datanode.fsdatasetcache.max.threads.per.volume=0	org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.TestFsDatasetImpl#testTransferAndNativeCopyMetrics	 					
Bug-32	OOM	HDFS	dfs.bytes-per-checksum=2130640638	org.apache.hadoop.hdfs.server.namenode.ha.TestRetryCacheWithHA#testCreateSymlink						
Bug-33	OOM	HDFS	dfs.datanode.handler.count=879558531	org.apache.hadoop.hdfs.web.TestWebHDFSAcl#testModifyAclEntriesStickyBit					Server 3418	
Bug-34	OOM	Yarn	indexedFile.fs.input.buffer.size=2139095054	org.apache.hadoop.yarn.logaggregation.filecontroller.ifile.TestLogAggregationIndexedFileController#testFetchApplictionLogsHar						
Bug-35	OOM	HBase	hbase.ipc.server.priority.max.callqueue.length=932763076	org.apache.hadoop.hbase.ipc.TestSimpleRpcScheduler#testPluggableRpcQueueWireUpWithoutFastPathExecutor						
Bug-36	OOM	HBase	hbase.bucketcache.writer.queuelength=880458521	org.apache.hadoop.hbase.io.hfile.TestHFile#testReaderWithCombinedBlockCache						
Bug-37	OOM	HBase	hbase.server.allocator.max.buffer.count=767 hbase.server.allocator.buffer.size=1469557208	org.apache.hadoop.hbase.io.hfile.TestHFileBlockUnpack#itUnpacksIdenticallyEachTime						
Bug-38	OOM	HBase	hbase.procedure.store.wal.sync.stats.count=270565379	org.apache.hadoop.hbase.procedure2.store.region.TestRegionProcedureStoreMigration#testMigrateWithUnsupportedProcedures						
Bug-39	OOM	HBase	hbase.client.ipc.pool.size=1260679811	org.apache.hadoop.hbase.ipc.TestBlockingIPC#testAsyncEcho						
Bug-40	OOM	Hive	hive.hashtable.key.count.adjustment=-0.014673769474029541	org.apache.hadoop.hive.ql.exec.vector.mapjoin.TestMapJoinOperator#testString1						
Bug-41	Division by 0	Yarn	yarn.dispatcher.print-events-info.threshold=0	org.apache.hadoop.yarn.event.TestAsyncDispatcher#testDispatcherMetricsHistogram	https://github.com/xlab-uiuc/confuzz/issues/166		Opened	https://issues.apache.org/jira/browse/YARN-11541		Reported
Bug-42	Division by 0	MapReduce	mapreduce.reduce.shuffle.maxfetchfailures=0 mapreduce.reduce.shuffle.notify.readerror=false	org.apache.hadoop.mapreduce.task.reduce.TestShuffleScheduler#TestSucceedAndFailedCopyMap	https://github.com/xlab-uiuc/confuzz/issues/168		Opened	https://issues.apache.org/jira/browse/MAPREDUCE-7445		Reported
Bug-43	Division by 0	HCommon	zk-dt-secret-manager.zkNumRetries=0	org.apache.hadoop.security.token.delegation.TestZKDelegationTokenSecretManager#testMultiNodeOperations	https://github.com/xlab-uiuc/confuzz/issues/165		Opened	https://issues.apache.org/jira/browse/MAPREDUCE-7445		Reported
